count_fp,created_time,no_price_dollars,taker_side,ticker,trade_id,yes_price_dollars,ts_utc
7.00,2026-02-25T20:15:37.732212Z,0.5500,no,KXKHAMENEIOUT-AKHA-26SEP01,092dfe27-4e92-57a2-3da9-7a6a4ed749ff,0.4500,2026-02-25 20:15:37.732212+00:00
10.00,2026-02-25T20:15:37.732212Z,0.5500,no,KXKHAMENEIOUT-AKHA-26SEP01,067b7e0a-41ec-5d9b-1521-d1f68a345b38,0.4500,2026-02-25 20:15:37.732212+00:00
10.00,2026-02-25T20:02:39.204404Z,0.5500,no,KXKHAMENEIOUT-AKHA-26SEP01,4e7c4cd7-797c-64a7-678a-1a35fc4283e0,0.4500,2026-02-25 20:02:39.204404+00:00
10.00,2026-02-25T20:02:28.12703Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,f8a753e0-9e17-6701-423d-32e626606300,0.4600,2026-02-25 20:02:28.127030+00:00
20.00,2026-02-25T19:56:59.14009Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,141007f3-1007-4b49-ab78-b1039ba5489c,0.4600,2026-02-25 19:56:59.140090+00:00
1.00,2026-02-25T19:44:49.07181Z,0.5500,no,KXKHAMENEIOUT-AKHA-26SEP01,9eb3f831-2318-6107-a83b-affc7a037880,0.4500,2026-02-25 19:44:49.071810+00:00
4.00,2026-02-25T19:44:49.07181Z,0.5500,no,KXKHAMENEIOUT-AKHA-26SEP01,75c5d83e-481d-6dc7-a21a-91e81c46eb52,0.4500,2026-02-25 19:44:49.071810+00:00
14.00,2026-02-25T19:42:09.137929Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,51bbca0b-ed67-4435-b48c-ed557e42b864,0.4600,2026-02-25 19:42:09.137929+00:00
10.00,2026-02-25T19:40:29.926276Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,2a97ee06-3917-7a11-8f8b-d9abcc0124ec,0.4600,2026-02-25 19:40:29.926276+00:00
7.00,2026-02-25T19:39:58.720322Z,0.5500,no,KXKHAMENEIOUT-AKHA-26SEP01,4f70950d-7699-413b-f2eb-3a00501f2baa,0.4500,2026-02-25 19:39:58.720322+00:00
20.00,2026-02-25T19:28:31.917905Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,ab9525e2-c0e7-7345-03e7-b0a10cba2494,0.4600,2026-02-25 19:28:31.917905+00:00
1.00,2026-02-25T19:12:14.782599Z,0.5500,no,KXKHAMENEIOUT-AKHA-26SEP01,7933e9d5-0d75-49fb-2aa5-fe758b986522,0.4500,2026-02-25 19:12:14.782599+00:00
